2018-06-27 10:19:48.901346,12,34,97,53,23,20,11
2018-06-27 10:19:49.421027,23,43,105,48,20,32,13
2018-06-27 10:19:49.648970,31,47,106,49,23,25,16
2018-06-27 10:19:49.888861,24,45,100,65,19,23,17
2018-06-27 10:19:50.122252,25,46,98,52,1,29,14
2018-06-27 10:19:50.352002,40,55,110,49,23,19,22
2018-06-27 10:19:50.605919,22,46,103,46,24,19,15
2018-06-27 10:19:50.861192,27,42,102,53,21,36,16
2018-06-27 10:19:51.107622,25,38,103,50,22,18,16
2018-06-27 10:19:51.343417,29,43,103,49,30,21,0
2018-06-27 10:19:51.567133,24,38,92,53,22,11,0
2018-06-27 10:19:51.890052,38,54,94,51,21,24,15
2018-06-27 10:19:52.125950,22,45,107,56,20,23,17
2018-06-27 10:19:52.359630,27,44,96,55,24,24,16
2018-06-27 10:19:52.594381,21,40,95,45,30,22,17
2018-06-27 10:19:52.825092,22,52,106,31,24,22,15
2018-06-27 10:19:53.131895,26,46,103,55,21,23,14
2018-06-27 10:19:53.367372,24,45,105,51,22,31,17
2018-06-27 10:19:53.604254,31,17,103,41,17,22,16
2018-06-27 10:19:53.851233,20,41,103,52,24,31,13
2018-06-27 10:19:54.085637,35,45,104,49,6,25,11
2018-06-27 10:19:54.334962,22,46,102,62,25,24,13
2018-06-27 10:19:54.583399,22,42,103,56,21,24,12
2018-06-27 10:19:54.860401,28,45,97,52,23,17,15
2018-06-27 10:19:55.126775,23,43,100,50,21,23,10
2018-06-27 10:19:55.357571,19,44,104,44,20,26,14
2018-06-27 10:19:55.590054,33,42,97,52,24,21,12
2018-06-27 10:19:55.838184,0,34,108,44,17,22,12
2018-06-27 10:19:56.072706,23,44,97,49,10,18,22
2018-06-27 10:19:56.327935,24,38,100,59,33,24,11
2018-06-27 10:19:56.567873,0,55,102,53,22,21,18
2018-06-27 10:19:56.806364,25,47,105,52,23,23,22
2018-06-27 10:19:57.036749,25,43,104,51,34,23,7
2018-06-27 10:19:57.273673,21,41,107,70,27,21,14
2018-06-27 10:19:57.639421,23,49,87,51,20,28,14
2018-06-27 10:19:57.924804,17,48,98,53,25,24,14
2018-06-27 10:19:58.155205,43,49,96,51,21,19,17
2018-06-27 10:19:58.386440,22,36,98,55,23,23,12
2018-06-27 10:19:58.613534,23,33,102,50,27,21,14
2018-06-27 10:19:58.871653,25,44,97,50,24,22,12
2018-06-27 10:19:59.109663,22,44,104,61,21,24,12
2018-06-27 10:19:59.336688,21,39,108,47,22,14,12
2018-06-27 10:19:59.573846,11,47,107,52,23,23,10
2018-06-27 10:19:59.877324,20,44,105,47,20,21,12
2018-06-27 10:20:00.116768,23,44,100,58,26,24,13
2018-06-27 10:20:00.337901,20,41,107,51,16,25,9
2018-06-27 10:20:00.575956,23,42,105,27,14,25,17
2018-06-27 10:20:00.826624,23,46,110,52,23,23,14
2018-06-27 10:20:01.055697,23,36,112,51,25,23,17
2018-06-27 10:20:01.302079,25,46,104,51,22,29,14
2018-06-27 10:20:01.542431,25,45,104,52,22,22,13
2018-06-27 10:20:01.782996,15,63,111,55,23,11,13
2018-06-27 10:20:02.015577,46,42,108,53,21,18,14
2018-06-27 10:20:02.250972,27,25,98,53,24,17,15
2018-06-27 10:20:02.480702,23,40,101,54,31,30,13
2018-06-27 10:20:02.711790,22,45,109,54,20,34,12
2018-06-27 10:20:02.943918,1,38,105,54,24,24,13
2018-06-27 10:20:03.178343,25,44,94,55,25,23,15
2018-06-27 10:20:03.459009,22,44,108,53,24,23,13
2018-06-27 10:20:03.690201,23,47,119,47,20,24,13
